seed,cell,candidates,recovered_edges,parent_f1,precision,recall,gp_train_f1,sib_train_f1,evals,time_ms
42,H,256,28,0.0000,0.0000,0.0000,0.3556,0.6914,8192,84.6
42,B0,4032,40,0.0167,0.0250,0.0125,0.7887,0.7957,185830,1969.4
42,B1,256,21.3,0.0000,0.0000,0.0000,N/A,N/A,2970,16.0
43,H,256,34,0.0000,0.0000,0.0000,0.3396,0.7765,9111,73.3
43,B0,4032,38,0.0000,0.0000,0.0000,0.7714,0.8132,181062,1889.1
43,B1,256,23.0,0.0000,0.0000,0.0000,N/A,N/A,3442,19.5
44,H,256,32,0.0000,0.0000,0.0000,0.5306,0.7407,9643,80.7
44,B0,4032,37,0.0000,0.0000,0.0000,0.7302,0.8172,177018,1872.7
44,B1,256,21.3,0.0326,0.0751,0.0208,N/A,N/A,3178,17.5
45,H,256,31,0.0180,0.0323,0.0125,0.3396,0.7532,9193,74.2
45,B0,4032,37,0.0000,0.0000,0.0000,0.8116,0.7865,164082,1590.8
45,B1,256,23.0,0.0000,0.0000,0.0000,N/A,N/A,3434,17.5
46,H,256,29,0.0183,0.0345,0.0125,0.4561,0.7356,8744,77.0
46,B0,4032,42,0.0492,0.0714,0.0375,0.8493,0.8000,193856,2211.9
46,B1,256,25.0,0.0182,0.0333,0.0125,N/A,N/A,3676,21.6
