cell,seed,loss,seen_top1,seen_pointwise,seen_neigh,seen_dist_boost,unseen_top1,unseen_pointwise,unseen_neigh,unseen_dist_boost
A0B0,42,4.8411,14,0,23,0.3113,9,0,15,0.2327
A0B0,43,5.0278,13,0,21,0.1648,9,0,18,0.1496
A0B0,44,4.9830,13,0,24,0.2408,9,0,17,0.3089
A1B0,42,3.5599,13,0,29,3.7481,9,0,18,4.4920
A1B0,43,3.6344,13,0,27,3.0782,9,0,18,3.1111
A1B0,44,3.7880,13,0,28,1.4227,10,0,17,3.9356
A0B1,42,6.7677,13,0,26,-0.0843,9,0,17,-0.0019
A0B1,43,6.9536,13,0,26,-0.0708,9,0,14,0.1122
A0B1,44,7.0667,13,1,26,-0.3472,10,0,18,-0.1477
A1B1,42,4.1517,13,0,28,9.9910,9,0,18,6.2520
A1B1,43,4.0057,13,0,28,10.5574,10,0,18,6.3907
A1B1,44,4.2172,13,0,28,10.2853,10,0,18,6.2671
