seed,cell,f1_star,raw_f1,precision,recall,recovered_edges,non_roots,score,time_ms
42,H,0.0455,0.0145,0.0172,0.0125,58,29,1.4399,12079.4
42,B0,0.0577,0.0167,0.0250,0.0125,40,40,1.1844,1888.7
42,T,0.0882,0.0822,0.0909,0.0750,66,33,1.4341,12491.4
43,H,0.0208,0.0141,0.0161,0.0125,62,31,1.4326,12041.3
43,B0,0.0000,0.0000,0.0000,0.0000,38,38,1.2046,1766.5
43,T,0.0455,0.0278,0.0313,0.0250,64,32,1.4346,12345.8
44,H,0.0227,0.0143,0.0167,0.0125,60,30,1.3643,11533.1
44,B0,0.0000,0.0000,0.0000,0.0000,37,37,1.1774,1764.8
44,T,0.0000,0.0000,0.0000,0.0000,60,30,1.4647,11718.8
45,H,0.0227,0.0145,0.0172,0.0125,58,29,1.4486,11736.1
45,B0,0.0000,0.0000,0.0000,0.0000,37,37,1.2281,1515.3
45,T,0.0536,0.0423,0.0484,0.0375,62,31,1.3693,12237.6
46,H,0.0455,0.0143,0.0167,0.0125,60,30,1.3982,12262.6
46,B0,0.0536,0.0492,0.0714,0.0375,42,42,1.2293,2009.3
46,T,0.0577,0.0417,0.0469,0.0375,64,32,1.4115,12209.7
